"name","age","club","boat","gender","country","type"
"Aadhavan Nandakumar",NA,"CCKC","K","M","USA",NA
"Aadithyan Nandakumar",NA,"CCKC","K","M","USA",NA
"Abbie Scoggins",NA,"BHAM","K","F","USA",NA
"Abby Charlesworth",NA,"FCKC","C","F","CAN",NA
"Abby Scoggins",NA,"BHAM","K","F","USA",NA
"Abigail Clark",NA,"GIG","K","F","USA",NA
"Adam Vetter",NA,"FCSCC","K","M","CAN",NA
"Adrian Colville",NA,"CCKC","K","M","USA",NA
"AJ Thom",NA,"BCKC","K","M","CAN",NA
"Alastair Pearson-Stubbs",NA,"FCSCC","K","M","CAN",NA
"Alex Pelekh",NA,"BCKC","K","M","CAN",NA
"Alex Smith",NA,"FCKC","K","M","CAN",NA
"Alex Sumner",NA,"FN","K","M","CAN",NA
"Ali Hosseiini",NA,"BCKC","K","M","CAN",NA
"Ali Hosseini",NA,"BCKC","K","M","CAN",NA
"Anakin Gibson",NA,"FN","K","M","CAN",NA
"Andrew Clark",NA,"KCKC","K","M","CAN",NA
"Andrew Huston",NA,"GIG","C","M","USA",NA
"Andrew Mao",NA,"BHAM","K","M","USA",NA
"Anick Girouard",NA,"FN","K","F","CAN",NA
"Anick Girourd",NA,"FN","K","F","CAN",NA
"Anna Beaudry",NA,"PCA","C","F","CAN",NA
"Anna Lendrum-Fort",NA,"SCKC","K","F","USA",NA
"Araya Berdinaka",NA,"BHAM","K","F","USA",NA
"Araya Berdinka",NA,"BHAM","K","F","USA",NA
"Ari Haraldsson",NA,"BCKC","K","M","CAN",NA
"Asha Cartagena",NA,"FCSCC","C","F","CAN",NA
"Audrey Hale",NA,"GIG","K","F","USA",NA
"Aurora Kahlert",NA,"RCKC","C","F","CAN",NA
"Aurora Ohr",NA,"GIG","K","F","USA",NA
"Austin Burt",NA,"PCA","K","M","CAN",NA
"Austin Laird",NA,"GIG","K","M","USA",NA
"Avery Metz",NA,"APC","K","F","CAN",NA
"Avie Waterfall",NA,"NKCC","K","F","CAN",NA
